province,data_date,total_case,total_death,daily_case,daily_death,casesroll_avg,maxcaserate,maxcaseday,filter_week,seq_
DKI Jakarta,2020-03-12,62,5,26,2,7.857142857142857,10324,2021-07-08,2020-03-12,1
DKI Jakarta,2020-03-13,72,7,10,2,9.285714285714286,10324,2021-07-08,2020-03-12,2
DKI Jakarta,2020-03-14,79,9,7,2,10.285714285714286,10324,2021-07-08,2020-03-12,3
DKI Jakarta,2020-03-15,95,11,16,2,12.571428571428571,10324,2021-07-08,2020-03-12,4
DKI Jakarta,2020-03-16,97,12,2,1,9,10324,2021-07-08,2020-03-12,5
DKI Jakarta,2020-03-17,122,12,25,0,12.571428571428571,10324,2021-07-08,2020-03-12,6
DKI Jakarta,2020-03-18,158,12,30,0,16.571428571428573,10324,2021-07-08,2020-03-12,7
DKI Jakarta,2020-03-19,210,0,52,0,20.285714285714285,10324,2021-07-08,2020-03-12,8
DKI Jakarta,2020-03-20,215,18,5,0,19.571428571428573,10324,2021-07-08,2020-03-12,9
DKI Jakarta,2020-03-21,267,23,44,5,24.857142857142858,10324,2021-07-08,2020-03-12,10
Jawa Barat,2020-03-21,55,7,14,0,6.142857142857143,6477.714285714285,2021-07-08,2020-03-21,1
DKI Jakarta,2020-03-22,307,29,40,6,28.285714285714285,10324,2021-07-08,2020-03-12,11
Jawa Barat,2020-03-22,59,9,4,2,6.714285714285714,6477.714285714285,2021-07-08,2020-03-21,2
DKI Jakarta,2020-03-23,353,29,44,0,34.285714285714285,10324,2021-07-08,2020-03-12,12
Jawa Barat,2020-03-23,59,9,0,0,6.714285714285714,6477.714285714285,2021-07-08,2020-03-21,3
DKI Jakarta,2020-03-24,424,31,70,2,40.714285714285715,10324,2021-07-08,2020-03-12,13
Jawa Barat,2020-03-24,60,10,1,1,6.857142857142857,6477.714285714285,2021-07-08,2020-03-21,4
Jawa Timur,2020-03-24,51,1,10,0,6.142857142857143,1820.7142857142858,2021-07-08,2020-03-24,1
DKI Jakarta,2020-03-25,463,31,39,0,42,10324,2021-07-08,2020-03-12,14
Jawa Barat,2020-03-25,73,10,13,0,7,6477.714285714285,2021-07-08,2020-03-21,5
Jawa Timur,2020-03-25,51,1,0,0,6.142857142857143,1820.7142857142858,2021-07-08,2020-03-24,2
DKI Jakarta,2020-03-26,515,46,53,15,42.142857142857146,10324,2021-07-08,2020-03-12,15
Jawa Barat,2020-03-26,78,11,5,1,7.428571428571429,6477.714285714285,2021-07-08,2020-03-21,6
Jawa Timur,2020-03-26,59,3,8,2,7.142857142857143,1820.7142857142858,2021-07-08,2020-03-24,3
DKI Jakarta,2020-03-27,598,51,83,5,53.285714285714285,10324,2021-07-08,2020-03-12,16
Jawa Barat,2020-03-27,98,14,20,3,8.142857142857142,6477.714285714285,2021-07-08,2020-03-21,7
Jawa Timur,2020-03-27,66,4,7,1,7.285714285714286,1820.7142857142858,2021-07-08,2020-03-24,4
DKI Jakarta,2020-03-28,627,62,38,11,52.42857142857143,10324,2021-07-08,2020-03-12,17
Jawa Barat,2020-03-28,119,17,21,3,9.142857142857142,6477.714285714285,2021-07-08,2020-03-21,8
Jawa Tengah,2020-03-28,55,7,12,1,5.857142857142857,3466.714285714286,2021-07-08,2020-03-28,1
Jawa Timur,2020-03-28,77,4,11,0,7.285714285714286,1820.7142857142858,2021-07-08,2020-03-24,5
DKI Jakarta,2020-03-29,675,68,48,6,53.57142857142857,10324,2021-07-08,2020-03-12,18
Jawa Barat,2020-03-29,149,19,30,2,12.857142857142858,6477.714285714285,2021-07-08,2020-03-21,9
Jawa Tengah,2020-03-29,63,7,8,0,6.857142857142857,3466.714285714286,2021-07-08,2020-03-28,2
Jawa Timur,2020-03-29,90,7,13,3,7,1820.7142857142858,2021-07-08,2020-03-24,6
DKI Jakarta,2020-03-30,698,74,24,6,50.714285714285715,10324,2021-07-08,2020-03-12,19
Jawa Barat,2020-03-30,180,20,25,1,16.428571428571427,6477.714285714285,2021-07-08,2020-03-21,10
Jawa Tengah,2020-03-30,81,7,17,0,9.285714285714286,3466.714285714286,2021-07-08,2020-03-28,3
Jawa Timur,2020-03-30,91,8,1,1,7.142857142857143,1820.7142857142858,2021-07-08,2020-03-24,7
DKI Jakarta,2020-03-31,747,83,41,9,46.57142857142857,10324,2021-07-08,2020-03-12,20
Jawa Barat,2020-03-31,198,21,16,1,18.571428571428573,6477.714285714285,2021-07-08,2020-03-21,11
Jawa Tengah,2020-03-31,93,7,13,0,10.571428571428571,3466.714285714286,2021-07-08,2020-03-28,4
Jawa Timur,2020-03-31,93,8,2,0,6,1820.7142857142858,2021-07-08,2020-03-24,8
DKI Jakarta,2020-04-01,808,85,62,2,49.857142857142854,10324,2021-07-08,2020-03-12,21
Jawa Barat,2020-04-01,220,21,21,0,19.714285714285715,6477.714285714285,2021-07-08,2020-03-21,12
Jawa Tengah,2020-04-01,104,7,11,0,9.428571428571429,3466.714285714286,2021-07-08,2020-03-28,5
Jawa Timur,2020-04-01,104,9,11,1,7.571428571428571,1820.7142857142858,2021-07-08,2020-03-24,9
DKI Jakarta,2020-04-02,897,90,80,5,53.714285714285715,10324,2021-07-08,2020-03-12,22
Jawa Barat,2020-04-02,223,25,15,4,21.142857142857142,6477.714285714285,2021-07-08,2020-03-21,13
Jawa Tengah,2020-04-02,104,7,0,0,9.142857142857142,3466.714285714286,2021-07-08,2020-03-28,6
Jawa Timur,2020-04-02,104,11,0,2,6.428571428571429,1820.7142857142858,2021-07-08,2020-03-24,10
DKI Jakarta,2020-04-03,971,90,74,0,52.42857142857143,10324,2021-07-08,2020-03-12,23
Jawa Barat,2020-04-03,225,25,2,0,18.571428571428573,6477.714285714285,2021-07-08,2020-03-21,14
Jawa Tengah,2020-04-03,114,18,10,11,10.142857142857142,3466.714285714286,2021-07-08,2020-03-28,7
Jawa Timur,2020-04-03,155,11,52,0,12.857142857142858,1820.7142857142858,2021-07-08,2020-03-24,11
DKI Jakarta,2020-04-04,1028,89,55,1,54.857142857142854,10324,2021-07-08,2020-03-12,24
Jawa Barat,2020-04-04,247,28,24,1,19,6477.714285714285,2021-07-08,2020-03-21,15
Jawa Tengah,2020-04-04,120,18,7,0,9.428571428571429,3466.714285714286,2021-07-08,2020-03-28,8
Jawa Timur,2020-04-04,152,14,0,3,11.285714285714286,1820.7142857142858,2021-07-08,2020-03-24,12
DKI Jakarta,2020-04-05,1124,95,96,6,61.714285714285715,10324,2021-07-08,2020-03-12,25
Jawa Barat,2020-04-05,252,28,5,0,15.428571428571429,6477.714285714285,2021-07-08,2020-03-21,16
Jawa Tengah,2020-04-05,120,18,0,0,8.285714285714286,3466.714285714286,2021-07-08,2020-03-28,9
Jawa Timur,2020-04-05,188,14,36,0,14.571428571428571,1820.7142857142858,2021-07-08,2020-03-24,13
DKI Jakarta,2020-04-06,1232,99,101,4,72.71428571428571,10324,2021-07-08,2020-03-12,26
Jawa Barat,2020-04-06,263,29,11,1,13.428571428571429,6477.714285714285,2021-07-08,2020-03-21,17
Jawa Tengah,2020-04-06,132,22,12,4,7.571428571428571,3466.714285714286,2021-07-08,2020-03-28,10
Jawa Timur,2020-04-06,189,14,1,0,14.571428571428571,1820.7142857142858,2021-07-08,2020-03-24,14
DKI Jakarta,2020-04-07,1369,106,135,7,86.14285714285714,10324,2021-07-08,2020-03-12,27
Jawa Barat,2020-04-07,343,29,80,0,22.571428571428573,6477.714285714285,2021-07-08,2020-03-21,18
Jawa Tengah,2020-04-07,133,22,1,0,5.857142857142857,3466.714285714286,2021-07-08,2020-03-28,11
Jawa Timur,2020-04-07,194,16,5,2,15,1820.7142857142858,2021-07-08,2020-03-24,15
DKI Jakarta,2020-04-08,1470,114,101,8,91.71428571428571,10324,2021-07-08,2020-03-12,28
Jawa Barat,2020-04-08,365,35,22,6,22.714285714285715,6477.714285714285,2021-07-08,2020-03-21,19
Jawa Tengah,2020-04-08,140,22,7,0,5.285714285714286,3466.714285714286,2021-07-08,2020-03-28,12
Jawa Timur,2020-04-08,196,16,2,0,13.714285714285714,1820.7142857142858,2021-07-08,2020-03-24,16
Bali,2020-04-09,63,2,14,0,5.285714285714286,411,2021-07-08,2020-04-09,1
DKI Jakarta,2020-04-09,1706,142,236,28,114,10324,2021-07-08,2020-03-12,29
Jawa Barat,2020-04-09,376,40,11,5,22.142857142857142,6477.714285714285,2021-07-08,2020-03-21,20
Jawa Tengah,2020-04-09,144,22,4,0,5.857142857142857,3466.714285714286,2021-07-08,2020-03-28,13
Jawa Timur,2020-04-09,223,17,27,1,17.571428571428573,1820.7142857142858,2021-07-08,2020-03-24,17
Bali,2020-04-10,75,2,12,0,6.714285714285714,411,2021-07-08,2020-04-09,2
DKI Jakarta,2020-04-10,1753,154,47,12,110.14285714285714,10324,2021-07-08,2020-03-12,30
Jawa Barat,2020-04-10,388,40,12,0,23.571428571428573,6477.714285714285,2021-07-08,2020-03-21,21
Jawa Tengah,2020-04-10,144,22,0,0,4.428571428571429,3466.714285714286,2021-07-08,2020-03-28,14
Jawa Timur,2020-04-10,256,22,33,5,14.857142857142858,1820.7142857142858,2021-07-08,2020-03-24,18
Bali,2020-04-11,79,2,4,0,6.571428571428571,411,2021-07-08,2020-04-09,3
DKI Jakarta,2020-04-11,1948,159,196,5,130.28571428571428,10324,2021-07-08,2020-03-12,31
Jawa Barat,2020-04-11,421,40,32,0,24.714285714285715,6477.714285714285,2021-07-08,2020-03-21,22
Jawa Tengah,2020-04-11,144,22,0,0,3.4285714285714284,3466.714285714286,2021-07-08,2020-03-28,15
Jawa Timur,2020-04-11,267,25,11,3,16.428571428571427,1820.7142857142858,2021-07-08,2020-03-24,19
Bali,2020-04-12,81,2,2,0,6.428571428571429,411,2021-07-08,2020-04-09,4
DKI Jakarta,2020-04-12,2044,195,96,36,130.28571428571428,10324,2021-07-08,2020-03-12,32
Jawa Barat,2020-04-12,450,43,29,3,28.142857142857142,6477.714285714285,2021-07-08,2020-03-21,23
