Year,Title,title_,Director,Screenwriter,Producers,Music,Commercial_premiere,Running_time,rt,imdb,directed_by_hayao_miyazaki
1984,Nausicaä of the Valley of the Wind[R],Nausicaä of the\nValley of the Wind,Hayao Miyazaki,Hayao Miyazaki,Isao Takahata,Joe Hisaishi,"Japan: March 11, 1984",117,88,8.1,TRUE
1986,Castle in the Sky,Castle in the Sky,Hayao Miyazaki,Hayao Miyazaki,Isao Takahata,Joe Hisaishi,"Japan: August 2, 1986",124,96,8,TRUE
1988,Grave of the Fireflies,Grave of the Fireflies,Isao Takahata,Isao Takahata,Toru Hara,Michio Mamiya,"Japan: April 16, 1988",88,100,8.5,FALSE
1988,My Neighbor Totoro,My Neighbor Totoro,Hayao Miyazaki,Hayao Miyazaki,Toru Hara,Joe Hisaishi,NA,86,94,8.2,TRUE
1989,Kiki's Delivery Service,Kiki's Delivery Service,Hayao Miyazaki,Hayao Miyazaki,Hayao Miyazaki,Joe Hisaishi,"Japan: July 29, 1989",103,98,7.8,TRUE
1991,Only Yesterday,Only Yesterday,Isao Takahata,Isao Takahata,Toshio Suzuki,Masaru Hoshi,"Japan: July 20, 1991
English dub premiere: January 1, 2016",119,100,7.6,FALSE
1992,Porco Rosso,Porco Rosso,Hayao Miyazaki,Hayao Miyazaki,Toshio Suzuki,Joe Hisaishi,"Japan: July 18, 1992",93,95,7.7,TRUE
1994,Pom Poko,Pom Poko,Isao Takahata,Isao Takahata,Toshio Suzuki,Shang Shang Typhoon,"Japan: July 16, 1994",119,85,7.3,FALSE
1995,Whisper of the Heart,Whisper of the Heart,Yoshifumi Kondō,Hayao Miyazaki,Toshio Suzuki,Yuji Nomi,"Japan: July 15, 1995",111,94,7.9,FALSE
1997,Princess Mononoke,Princess Mononoke,Hayao Miyazaki,Hayao Miyazaki,Toshio Suzuki,Joe Hisaishi,"Japan: July 12, 1997
United States: October 29, 1999",133,93,8.4,TRUE
1999,My Neighbors the Yamadas,My Neighbors the Yamadas,Isao Takahata,Isao Takahata,Toshio Suzuki,Akiko Yano,"Japan: July 17, 1999",103,78,7.2,FALSE
2001,Spirited Away,Spirited Away,Hayao Miyazaki,Hayao Miyazaki,Toshio Suzuki,Joe Hisaishi,"Japan: July 20, 2001
United States: September 20, 2002",124,97,8.6,TRUE
2002,The Cat Returns,The Cat Returns,Hiroyuki Morita,Reiko Yoshida,Nozomu Takahashi & Toshio Suzuki,Yuji Nomi,"Japan: July 19, 2002",75,90,7.2,FALSE
2004,Howl's Moving Castle,Howl's Moving Castle,Hayao Miyazaki,Hayao Miyazaki,Toshio Suzuki,Joe Hisaishi,"Japan: November 20, 2004
United States: June 10, 2005",119,87,8.2,TRUE
2006,Tales from Earthsea,Tales from Earthsea,Gorō Miyazaki,Gorō Miyazaki & Keiko Niwa,Toshio Suzuki,Tamiya Terashima,"Japan: July 29, 2006
United States: August 13, 2010",115,43,6.4,FALSE
2008,Ponyo,Ponyo,Hayao Miyazaki,Hayao Miyazaki,Toshio Suzuki,Joe Hisaishi,"Japan: July 19, 2008
United States: August 14, 2009",101,92,7.7,TRUE
2010,Arrietty,Arrietty,Hiromasa Yonebayashi,Hayao Miyazaki & Keiko Niwa,Toshio Suzuki,Cécile Corbel,"Japan: July 17, 2010
United States: February 17, 2012",94,95,7.6,FALSE
2011,From Up on Poppy Hill,From Up on Poppy Hill,Gorō Miyazaki,Hayao Miyazaki & Keiko Niwa,Toshio Suzuki,Satoshi Takebe,"Japan: July 16, 2011
United States: March 15, 2013",91,86,7.4,FALSE
2013,The Wind Rises[22],The Wind Rises,Hayao Miyazaki,Hayao Miyazaki,Toshio Suzuki,Joe Hisaishi,"Japan: July 20, 2013
United States: February 21, 2014",126,88,7.8,TRUE
2013,The Tale of the Princess Kaguya[22],The Tale of the\nPrincess Kaguya,Isao Takahata,Isao Takahata & Riko Sakaguchi,Yoshiaki Nishimura,Joe Hisaishi,"Japan: November 23, 2013
United States: October 17, 2014",137,100,8,FALSE
2014,When Marnie Was There[25],When Marnie Was There,Hiromasa Yonebayashi,"Hiromasa Yonebayashi, Keiko Niwa & Masashi Ando",Yoshiaki Nishimura,Takatsugu Muramatsu,"Japan: July 19, 2014
United States: May 22, 2015",102,91,7.7,FALSE
